"Description","Coverage [%]","# Peptides","Found in Sample: [S4] F4: Sample, w/o sm, w/o Rs, none","Found in Sample: [S10] F10: Sample, w/o sm, w/o Rs, none","Found in Sample: [S12] F12: Sample, w/o sm, w/o Rs, none","Found in Sample: [S14] F14: Sample, w/o sm, w/o Rs, none","Found in Sample: [S16] F16: Sample, w/o sm, w/o Rs, none","Found in Sample: [S24] F24: Sample, w/o sm, w/o Rs, none","Found in Sample: [S27] F27: Sample, w/o sm, w/o Rs, none","Found in Sample: [S28] F28: Sample, w/o sm, w/o Rs, none","Found in Sample: [S53] F53: Sample, w/o sm, w/o Rs, none","Found in Sample: [S38] F38: Sample, w/o sm, with Rs, heavy","Found in Sample: [S39] F39: Sample, w/o sm, with Rs, heavy","Found in Sample: [S40] F40: Sample, w/o sm, with Rs, heavy","Found in Sample: [S41] F41: Sample, w/o sm, with Rs, heavy","Found in Sample: [S42] F42: Sample, w/o sm, with Rs, heavy","Found in Sample: [S44] F44: Sample, w/o sm, with Rs, heavy","Found in Sample: [S47] F47: Sample, w/o sm, with Rs, heavy","Found in Sample: [S48] F48: Sample, w/o sm, with Rs, heavy","Found in Sample: [S49] F49: Sample, w/o sm, with Rs, heavy","Found in Sample: [S5] F5: Sample, w/o sm, with Rs, light","Found in Sample: [S7] F7: Sample, w/o sm, with Rs, light","Found in Sample: [S9] F9: Sample, w/o sm, with Rs, light","Found in Sample: [S11] F11: Sample, w/o sm, with Rs, light","Found in Sample: [S13] F13: Sample, w/o sm, with Rs, light","Found in Sample: [S17] F17: Sample, w/o sm, with Rs, light","Found in Sample: [S23] F23: Sample, w/o sm, with Rs, light","Found in Sample: [S26] F26: Sample, w/o sm, with Rs, light","Found in Sample: [S29] F29: Sample, w/o sm, with Rs, light","Found in Sample: [S6] F6: Sample, with sm, w/o Rs, none","Found in Sample: [S8] F8: Sample, with sm, w/o Rs, none","Found in Sample: [S19] F19: Sample, with sm, w/o Rs, none","Found in Sample: [S20] F20: Sample, with sm, w/o Rs, none","Found in Sample: [S21] F21: Sample, with sm, w/o Rs, none","Found in Sample: [S25] F25: Sample, with sm, w/o Rs, none","Found in Sample: [S31] F31: Sample, with sm, w/o Rs, none","Found in Sample: [S33] F33: Sample, with sm, w/o Rs, none","Found in Sample: [S54] F54: Sample, with sm, w/o Rs, none","Found in Sample: [S35] F35: Sample, with sm, with Rs, heavy","Found in Sample: [S36] F36: Sample, with sm, with Rs, heavy","Found in Sample: [S37] F37: Sample, with sm, with Rs, heavy","Found in Sample: [S43] F43: Sample, with sm, with Rs, heavy","Found in Sample: [S45] F45: Sample, with sm, with Rs, heavy","Found in Sample: [S46] F46: Sample, with sm, with Rs, heavy","Found in Sample: [S50] F50: Sample, with sm, with Rs, heavy","Found in Sample: [S51] F51: Sample, with sm, with Rs, heavy","Found in Sample: [S52] F52: Sample, with sm, with Rs, heavy","Found in Sample: [S1] F1: Sample, with sm, with Rs, light","Found in Sample: [S2] F2: Sample, with sm, with Rs, light","Found in Sample: [S3] F3: Sample, with sm, with Rs, light","Found in Sample: [S15] F15: Sample, with sm, with Rs, light","Found in Sample: [S18] F18: Sample, with sm, with Rs, light","Found in Sample: [S22] F22: Sample, with sm, with Rs, light","Found in Sample: [S30] F30: Sample, with sm, with Rs, light","Found in Sample: [S32] F32: Sample, with sm, with Rs, light","Found in Sample: [S34] F34: Sample, with sm, with Rs, light"
"swissprot: Calvin cycle protein CP12-3, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:159580614:159581347:1 gene:gene-LSAT_4X95980 transcript:rna-gnl|WGS:NBSK|LSAT_4X95980_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",29,4,"Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","High","Peak Found","High","High","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found"
"swissprot: Probable aquaporin PIP1-4 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:143872200:143875561:-1 gene:gene-LSAT_6X87460 transcript:rna-gnl|WGS:NBSK|LSAT_6X87460_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",24,5,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: Nascent polypeptide-associated complex subunit alpha-like protein 2 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:5367289:5368627:-1 gene:gene-LSAT_8X4841 transcript:rna-gnl|WGS:NBSK|LSAT_8X4841_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",15,2,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Protein SAR DEFICIENT 4 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:2:211486203:211487222:-1 gene:gene-LSAT_2X131440 transcript:rna-gnl|WGS:NBSK|LSAT_2X131440_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Protein SAR DEFICIENT 4 [Source:Projected from Arabidopsis thaliana (AT5G52810) UniProtKB/Swiss-Prot;Acc:Q9FLY0]",6,1,"High","High","High","Peak Found","High","High","High","High","Not Found","Peak Found","High","Not Found","High","High","High","High","Peak Found","High","High","High","High","Peak Found","Peak Found","High","High","High","High","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High"
"swissprot: Large ribosomal subunit protein uL29y OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:2:195137975:195139156:-1 gene:gene-LSAT_2X115601 transcript:rna-gnl|WGS:NBSK|LSAT_2X115601_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",28,4,"Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: GDP-mannose 4,6 dehydratase 2 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:297305304:297306942:1 gene:gene-LSAT_4X149120 transcript:rna-gnl|WGS:NBSK|LSAT_4X149120_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",10,3,"Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","High","Peak Found","High","High"
"swissprot: 2-alkenal reductase (NADP(+)-dependent) OS=Nicotiana tabacum  | original description: pep primary_assembly:Lsat_Salinas_v7:1:92234285:92276114:-1 gene:gene-LSAT_1X73921 transcript:rna-gnl|WGS:NBSK|LSAT_1X73921_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",14,3,"Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"swissprot: Bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:228935392:228938772:1 gene:gene-LSAT_5X108740 transcript:rna-gnl|WGS:NBSK|LSAT_5X108740_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",9,4,"Peak Found","Peak Found","High","Not Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Not Found","Peak Found","High"
"swissprot: ATP synthase subunit d, mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:57544831:57546466:1 gene:gene-LSAT_1X50021 transcript:rna-gnl|WGS:NBSK|LSAT_1X50021_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",37,6,"Peak Found","High","High","Peak Found","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","High","Peak Found","High","High","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","High","High","High","Peak Found","High","High"
"swissprot: EP1-like glycoprotein 3 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:172305961:172307508:1 gene:gene-LSAT_7X102680 transcript:rna-gnl|WGS:NBSK|LSAT_7X102680_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",16,6,"High","High","High","High","High","High","High","High","Peak Found","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Guanosine nucleotide diphosphate dissociation inhibitor 1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:93596960:93600318:-1 gene:gene-LSAT_1X77261 transcript:rna-gnl|WGS:NBSK|LSAT_1X77261_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",16,6,"High","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","Not Found","Peak Found","High"
"swissprot: Photosynthetic NDH subunit of subcomplex B 1, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:17950170:17952728:1 gene:gene-LSAT_5X8240 transcript:rna-gnl|WGS:NBSK|LSAT_5X8240_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",12,3,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Not Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High"
"swissprot: Heat shock factor-binding protein OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:75667737:75669884:1 gene:gene-LSAT_8X53401 transcript:rna-gnl|WGS:NBSK|LSAT_8X53401_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Heat shock factor-binding protein [Source:Projected from Arabidopsis thaliana (AT4G15802) UniProtKB/Swiss-Prot;Acc:Q8GW48]",46,4,"High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","Peak Found"
"swissprot: Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta OS=Solanum tuberosum  | original description: pep primary_assembly:Lsat_Salinas_v7:4:94458565:94463065:-1 gene:gene-LSAT_4X61761 transcript:rna-gnl|WGS:NBSK|LSAT_4X61761_mrna gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:PFP-BETA",14,4,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Not Found","High","Not Found","Not Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Not Found","Peak Found","Not Found","Not Found","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:3:48459385:48460524:-1 gene:gene-LSAT_3X37280 transcript:rna-gnl|WGS:NBSK|LSAT_3X37280_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",17,6,"High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: NADPH-dependent aldo-keto reductase, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:122911788:122913833:-1 gene:gene-LSAT_8X85220 transcript:rna-gnl|WGS:NBSK|LSAT_8X85220_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",31,6,"Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","High"
"swissprot: Thioredoxin-like protein AAED1, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:319505457:319508160:-1 gene:gene-LSAT_4X160020 transcript:rna-gnl|WGS:NBSK|LSAT_4X160020_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",14,4,"High","High","High","High","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","Not Found","High","High"
"swissprot: NAD(P)H-quinone oxidoreductase subunit K, chloroplastic OS=Lactuca sativa  | original description: pep primary_assembly:Lsat_Salinas_v7:2:12828940:12830029:1 gene:gene-LSAT_2X5601 transcript:rna-gnl|WGS:NBSK|LSAT_2X5601_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",14,3,"Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","High","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","High","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","High","High","Peak Found","High","Not Found","Peak Found","Peak Found"
"swissprot: Glutaredoxin-C4, chloroplastic OS=Oryza sativa subsp. japonica  | original description: pep primary_assembly:Lsat_Salinas_v7:4:372316211:372317761:-1 gene:gene-LSAT_4X183261 transcript:rna-gnl|WGS:NBSK|LSAT_4X183261_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",53,4,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","Not Found","Peak Found","High"
"swissprot: Thylakoid lumenal 19 kDa protein, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:155892764:155893653:-1 gene:gene-LSAT_1X107841 transcript:rna-gnl|WGS:NBSK|LSAT_1X107841_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",14,2,"Peak Found","High","High","Peak Found","High","High","Peak Found","High","Peak Found","Not Found","High","Not Found","Peak Found","High","Not Found","High","Not Found","Peak Found","High","Peak Found","High","High","Peak Found","High","Peak Found","High","High","High","Peak Found","High","High","Peak Found","High","High","Peak Found","High","High","High","Not Found","High","Peak Found","Peak Found","High","High","Peak Found","High","High","Peak Found","High","High","High","Not Found","High","High"
"swissprot: N-carbamoylputrescine amidase OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:70717648:70719907:-1 gene:gene-LSAT_1X59241 transcript:rna-gnl|WGS:NBSK|LSAT_1X59241_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",20,4,"High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High"
"swissprot: DNA damage-repair/toleration protein DRT100 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:67943147:67944510:-1 gene:gene-LSAT_6X48301 transcript:rna-gnl|WGS:NBSK|LSAT_6X48301_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",17,5,"Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Peak Found","Not Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","High","Peak Found","High","Peak Found","High","Not Found","Peak Found","High"
"swissprot: ATPase GET3A OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:3:244985649:244990484:-1 gene:gene-LSAT_3X134960 transcript:rna-gnl|WGS:NBSK|LSAT_3X134960_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",17,5,"Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","High","High","Peak Found","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Stress-related protein OS=Vitis riparia  | original description: pep primary_assembly:Lsat_Salinas_v7:9:5548996:5550610:1 gene:gene-LSAT_9X1021 transcript:rna-gnl|WGS:NBSK|LSAT_9X1021_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",26,4,"High","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","High","High","High","Peak Found","Peak Found","Peak Found","High","High","High","High","Peak Found","High","High","High","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","High","High","Peak Found","High","Peak Found","High","Peak Found","High","High"
"swissprot: Aminopeptidase M1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:155080380:155085968:1 gene:gene-LSAT_4X95001 transcript:rna-gnl|WGS:NBSK|LSAT_4X95001_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",8,6,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:9:1609043:1609793:1 gene:gene-LSAT_9X4081 transcript:rna-gnl|WGS:NBSK|LSAT_9X4081_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:OEP7 [Source:Projected from Arabidopsis thaliana (AT3G52420) UniProtKB/TrEMBL;Acc:A0A178VGL9]",21,2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","Not Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:4:39601915:39603852:1 gene:gene-LSAT_4X26421 transcript:rna-gnl|WGS:NBSK|LSAT_4X26421_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",14,2,"High","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","High","High","High","Peak Found","Not Found","High","Peak Found","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","High","High","Peak Found","High","Peak Found","Peak Found","High"
"swissprot: NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:373020861:373023309:1 gene:gene-LSAT_4X184020 transcript:rna-gnl|WGS:NBSK|LSAT_4X184020_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Source:Projected from Arabidopsis thaliana (AT5G08530) UniProtKB/TrEMBL;Acc:A0A178UJ45]",11,4,"High","High","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","High","Peak Found","High","High","Peak Found","High","High"
"swissprot: Uncharacterized protein At4g28440 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:76738957:76739965:-1 gene:gene-LSAT_4X51921 transcript:rna-gnl|WGS:NBSK|LSAT_4X51921_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",37,4,"Peak Found","High","High","High","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","High","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","High","High","High","Peak Found","Peak Found","Not Found","High","Peak Found"
"swissprot: ATP-dependent 6-phosphofructokinase 4, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:13895050:13898665:1 gene:gene-LSAT_8X9660 transcript:rna-gnl|WGS:NBSK|LSAT_8X9660_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",12,5,"Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Histone H4 OS=Silene latifolia  | original description: pep primary_assembly:Lsat_Salinas_v7:8:112762786:112766288:1 gene:gene-LSAT_8X79040 transcript:rna-gnl|WGS:NBSK|LSAT_8X79040_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",21,4,"High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","High","High"
